position,team,played,wins,draws,losses,goals_for,goals_against,goal_difference,points
1,LOJA C.D.,18,13,1,4,39,15,24,40
2,C.D. CANTORIA 2017 F.C.,18,11,4,3,32,18,14,37
3,C.D. ATCO DE MARBELLA BALOMPIE,18,12,1,5,41,20,21,35
4,C.D. MÁLAGA JUNIORS F.C.,18,9,6,3,31,16,15,33
5,BENAGALBON C.D.,18,9,4,5,29,20,9,31
6,U.D. MARACENA,18,10,1,7,31,26,5,31
7,P.D. GARRUCHA,18,8,3,7,29,32,-3,27
8,CUEVAS C.F.,17,6,3,8,26,25,1,21
9,C.D. CASABERMEJA,18,6,1,11,26,37,-11,19
10,C.D. SANTA FE,17,4,6,7,20,23,-3,18
11,C.P. ALMERIA,18,4,6,8,11,18,-7,18
12,C.D. PIZARRA ATLÉTICO C.F.,18,5,2,11,14,31,-17,17
13,ALHAURIN DE LA TORRE C.F.,18,5,3,10,19,29,-10,15
14,BAEZA C.F.,17,4,3,10,24,41,-17,15
15,C.D. VILLACARRILLO C.F,17,3,4,10,13,34,-21,13
16,C.D. PVO. EL EJIDO 1969 S.A.D.,0,0,0,0,0,0,0,0
